Loading gnu/11.2.0
  Loading requirement: binutils/11.2.0
Error in cpuinfo: prctl(PR_SVE_GET_VL) failed
Sliding Window Attention is enabled but not implemented for `sdpa`; unexpected results may be encountered.
Baseline model: 494,032,768 params (all trainable)
data  train=54473  val=3000
epoch 1/3  step 1260/13619  loss=0.3222  lr=2.00e-05
epoch 1/3  step 1270/13619  loss=0.4373  lr=2.00e-05
epoch 1/3  step 1280/13619  loss=0.4100  lr=2.00e-05
epoch 1/3  step 1290/13619  loss=0.1532  lr=2.00e-05
epoch 1/3  step 1300/13619  loss=0.3512  lr=2.00e-05
epoch 1/3  step 1310/13619  loss=0.3071  lr=2.00e-05
epoch 1/3  step 1320/13619  loss=0.2984  lr=2.00e-05
epoch 1/3  step 1330/13619  loss=0.3162  lr=2.00e-05
epoch 1/3  step 1340/13619  loss=0.3193  lr=2.00e-05
epoch 1/3  step 1350/13619  loss=0.3966  lr=2.00e-05
epoch 1/3  step 1360/13619  loss=0.2588  lr=2.00e-05
epoch 1/3  step 1370/13619  loss=0.3086  lr=2.00e-05
epoch 1/3  step 1380/13619  loss=0.3467  lr=2.00e-05
epoch 1/3  step 1390/13619  loss=0.2990  lr=2.00e-05
epoch 1/3  step 1400/13619  loss=0.3162  lr=2.00e-05
epoch 1/3  step 1410/13619  loss=0.3569  lr=2.00e-05
epoch 1/3  step 1420/13619  loss=0.3468  lr=2.00e-05
epoch 1/3  step 1430/13619  loss=0.3255  lr=2.00e-05
epoch 1/3  step 1440/13619  loss=0.3246  lr=2.00e-05
epoch 1/3  step 1450/13619  loss=0.2634  lr=2.00e-05
epoch 1/3  step 1460/13619  loss=0.2186  lr=2.00e-05
epoch 1/3  step 1470/13619  loss=0.3803  lr=2.00e-05
epoch 1/3  step 1480/13619  loss=0.2971  lr=2.00e-05
epoch 1/3  step 1490/13619  loss=0.3005  lr=2.00e-05
epoch 1/3  step 1500/13619  loss=0.3478  lr=2.00e-05
epoch 1/3  step 1510/13619  loss=0.3542  lr=2.00e-05
epoch 1/3  step 1520/13619  loss=0.3184  lr=2.00e-05
epoch 1/3  step 1530/13619  loss=0.2989  lr=2.00e-05
epoch 1/3  step 1540/13619  loss=0.3831  lr=2.00e-05
epoch 1/3  step 1550/13619  loss=0.3224  lr=2.00e-05
epoch 1/3  step 1560/13619  loss=0.3430  lr=2.00e-05
epoch 1/3  step 1570/13619  loss=0.3789  lr=2.00e-05
epoch 1/3  step 1580/13619  loss=0.3608  lr=2.00e-05
epoch 1/3  step 1590/13619  loss=0.2196  lr=2.00e-05
epoch 1/3  step 1600/13619  loss=0.3873  lr=2.00e-05
epoch 1/3  step 1610/13619  loss=0.2849  lr=2.00e-05
epoch 1/3  step 1620/13619  loss=0.3409  lr=2.00e-05
epoch 1/3  step 1630/13619  loss=0.3516  lr=2.00e-05
epoch 1/3  step 1640/13619  loss=0.4689  lr=2.00e-05
epoch 1/3  step 1650/13619  loss=0.3380  lr=2.00e-05
epoch 1/3  step 1660/13619  loss=0.1918  lr=2.00e-05
epoch 1/3  step 1670/13619  loss=0.2276  lr=2.00e-05
epoch 1/3  step 1680/13619  loss=0.4023  lr=2.00e-05
epoch 1/3  step 1690/13619  loss=0.2784  lr=2.00e-05
epoch 1/3  step 1700/13619  loss=0.3299  lr=2.00e-05
epoch 1/3  step 1710/13619  loss=0.3025  lr=2.00e-05
epoch 1/3  step 1720/13619  loss=0.4315  lr=2.00e-05
epoch 1/3  step 1730/13619  loss=0.1950  lr=2.00e-05
epoch 1/3  step 1740/13619  loss=0.3120  lr=2.00e-05
epoch 1/3  step 1750/13619  loss=0.3402  lr=2.00e-05
epoch 1/3  step 1760/13619  loss=0.2849  lr=2.00e-05
epoch 1/3  step 1770/13619  loss=0.4584  lr=2.00e-05
epoch 1/3  step 1780/13619  loss=0.3394  lr=2.00e-05
epoch 1/3  step 1790/13619  loss=0.4539  lr=2.00e-05
epoch 1/3  step 1800/13619  loss=0.2655  lr=2.00e-05
epoch 1/3  step 1810/13619  loss=0.3003  lr=2.00e-05
epoch 1/3  step 1820/13619  loss=0.3680  lr=2.00e-05
epoch 1/3  step 1830/13619  loss=0.3142  lr=2.00e-05
epoch 1/3  step 1840/13619  loss=0.2699  lr=2.00e-05
epoch 1/3  step 1850/13619  loss=0.2981  lr=2.00e-05
epoch 1/3  step 1860/13619  loss=0.1674  lr=2.00e-05
epoch 1/3  step 1870/13619  loss=0.3284  lr=2.00e-05
epoch 1/3  step 1880/13619  loss=0.4091  lr=2.00e-05
epoch 1/3  step 1890/13619  loss=0.3534  lr=2.00e-05
epoch 1/3  step 1900/13619  loss=0.4002  lr=2.00e-05
epoch 1/3  step 1910/13619  loss=0.4417  lr=2.00e-05
epoch 1/3  step 1920/13619  loss=0.3443  lr=2.00e-05
epoch 1/3  step 1930/13619  loss=0.2119  lr=2.00e-05
epoch 1/3  step 1940/13619  loss=0.2768  lr=2.00e-05
epoch 1/3  step 1950/13619  loss=0.3873  lr=2.00e-05
epoch 1/3  step 1960/13619  loss=0.3112  lr=2.00e-05
epoch 1/3  step 1970/13619  loss=0.2799  lr=2.00e-05
epoch 1/3  step 1980/13619  loss=0.4952  lr=2.00e-05
epoch 1/3  step 1990/13619  loss=0.4235  lr=2.00e-05
epoch 1/3  step 2000/13619  loss=0.4511  lr=2.00e-05
epoch 1/3  step 2010/13619  loss=0.2301  lr=2.00e-05
epoch 1/3  step 2020/13619  loss=0.3208  lr=2.00e-05
epoch 1/3  step 2030/13619  loss=0.2170  lr=2.00e-05
epoch 1/3  step 2040/13619  loss=0.2699  lr=2.00e-05
epoch 1/3  step 2050/13619  loss=0.3113  lr=2.00e-05
epoch 1/3  step 2060/13619  loss=0.3261  lr=2.00e-05
epoch 1/3  step 2070/13619  loss=0.3567  lr=2.00e-05
epoch 1/3  step 2080/13619  loss=0.4121  lr=1.99e-05
epoch 1/3  step 2090/13619  loss=0.3419  lr=1.99e-05
epoch 1/3  step 2100/13619  loss=0.2140  lr=1.99e-05
epoch 1/3  step 2110/13619  loss=0.3372  lr=1.99e-05
epoch 1/3  step 2120/13619  loss=0.3871  lr=1.99e-05
epoch 1/3  step 2130/13619  loss=0.3126  lr=1.99e-05
epoch 1/3  step 2140/13619  loss=0.2802  lr=1.99e-05
epoch 1/3  step 2150/13619  loss=0.2725  lr=1.99e-05
epoch 1/3  step 2160/13619  loss=0.2774  lr=1.99e-05
epoch 1/3  step 2170/13619  loss=0.2295  lr=1.99e-05
epoch 1/3  step 2180/13619  loss=0.1736  lr=1.99e-05
epoch 1/3  step 2190/13619  loss=0.2742  lr=1.99e-05
epoch 1/3  step 2200/13619  loss=0.3932  lr=1.99e-05
epoch 1/3  step 2210/13619  loss=0.2933  lr=1.99e-05
epoch 1/3  step 2220/13619  loss=0.2986  lr=1.99e-05
epoch 1/3  step 2230/13619  loss=0.3741  lr=1.99e-05
epoch 1/3  step 2240/13619  loss=0.4391  lr=1.99e-05
epoch 1/3  step 2250/13619  loss=0.3002  lr=1.99e-05
epoch 1/3  step 2260/13619  loss=0.2922  lr=1.99e-05
epoch 1/3  step 2270/13619  loss=0.3958  lr=1.99e-05
epoch 1/3  step 2280/13619  loss=0.3309  lr=1.99e-05
epoch 1/3  step 2290/13619  loss=0.2676  lr=1.99e-05
epoch 1/3  step 2300/13619  loss=0.2420  lr=1.99e-05
epoch 1/3  step 2310/13619  loss=0.3202  lr=1.99e-05
epoch 1/3  step 2320/13619  loss=0.2452  lr=1.99e-05
epoch 1/3  step 2330/13619  loss=0.2249  lr=1.99e-05
epoch 1/3  step 2340/13619  loss=0.3916  lr=1.99e-05
epoch 1/3  step 2350/13619  loss=0.2269  lr=1.99e-05
epoch 1/3  step 2360/13619  loss=0.4531  lr=1.99e-05
epoch 1/3  step 2370/13619  loss=0.3947  lr=1.99e-05
epoch 1/3  step 2380/13619  loss=0.2479  lr=1.99e-05
epoch 1/3  step 2390/13619  loss=0.2387  lr=1.99e-05
epoch 1/3  step 2400/13619  loss=0.2819  lr=1.99e-05
epoch 1/3  step 2410/13619  loss=0.2617  lr=1.99e-05
epoch 1/3  step 2420/13619  loss=0.2492  lr=1.99e-05
epoch 1/3  step 2430/13619  loss=0.3385  lr=1.99e-05
epoch 1/3  step 2440/13619  loss=0.2360  lr=1.99e-05
epoch 1/3  step 2450/13619  loss=0.1475  lr=1.99e-05
epoch 1/3  step 2460/13619  loss=0.2573  lr=1.99e-05
epoch 1/3  step 2470/13619  loss=0.4378  lr=1.99e-05
epoch 1/3  step 2480/13619  loss=0.2348  lr=1.99e-05
epoch 1/3  step 2490/13619  loss=0.2407  lr=1.99e-05
epoch 1/3  step 2500/13619  loss=0.3238  lr=1.99e-05
epoch 1/3  step 2510/13619  loss=0.3022  lr=1.99e-05
epoch 1/3  step 2520/13619  loss=0.1950  lr=1.99e-05
epoch 1/3  step 2530/13619  loss=0.3373  lr=1.99e-05
epoch 1/3  step 2540/13619  loss=0.3241  lr=1.99e-05
epoch 1/3  step 2550/13619  loss=0.3984  lr=1.99e-05
epoch 1/3  step 2560/13619  loss=0.3137  lr=1.99e-05
epoch 1/3  step 2570/13619  loss=0.2632  lr=1.99e-05
epoch 1/3  step 2580/13619  loss=0.3070  lr=1.99e-05
epoch 1/3  step 2590/13619  loss=0.3858  lr=1.99e-05
epoch 1/3  step 2600/13619  loss=0.2922  lr=1.99e-05
